col0 col1 col2 col3 col4 col5
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0001-x00.fits.fz 84.2762658 -92.31118170000002 60.097829841422126 51.79903786859869 "2017-03-05 02:52:56.224000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0002-x00.fits.fz 79.7323511 -93.35517220000003 63.770221595354656 48.86823800691088 "2017-03-05 03:13:55.645000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0003-x00.fits.fz 79.5182477 -93.41082239999997 59.80194388150802 52.46637078904787 "2017-03-05 03:14:54.806000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0004-x00.fits.fz 79.4096497 -93.4390191 63.88744067938265 51.17645269189563 "2017-03-05 03:15:25.155000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0005-x00.fits.fz 79.1663068 -93.5026211 63.70352515205781 52.23667374495922 "2017-03-05 03:16:32.289000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0006-x00.fits.fz 78.9970631 -93.54716309999998 62.97691104089745 50.20576955743772 "2017-03-05 03:17:19.377000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0007-x00.fits.fz 77.6107682 -93.9178738 35.983751736831564 42.69738748330278 "2017-03-05 03:23:44.195000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0008-x00.fits.fz 77.3093935 -93.9997333 nan nan "2017-03-05 03:25:07.496000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0009-x00.fits.fz 74.2602495 -94.8464884 nan nan "2017-03-05 03:39:14.230000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0010-x00.fits.fz 73.3499593 -95.10479759999998 63.95154575546867 50.07686303682448 "2017-03-05 03:43:27.331000"
/archive/engineering/lsc/ak01/20170304/raw/lsc1m009-ak01-20170304-0011-x00.fits.fz 72.5879077 -95.32254849999998 61.746951143971344 75.94210723025594 "2017-03-05 03:46:58.987000"
/archive/engineering/lsc/ak01/20170305/raw/lsc1m009-ak01-20170305-0003-x00.fits.fz 87.667617 -88.67219510000001 63.2472660874549 54.35132363477851 "2017-03-06 03:58:27.586000"
